x,y,z,a,b,c,d
147.7796189,183.7144057,29.95827144,0.999997602,-0.001389076,-0.001687719,-1.51345E-16
145.9711054,180.2645723,29.99751416,0.999999963,9.73267E-05,-9.00725E-05,-1.74069E-06
143.4209612,177.3810013,29.95962405,0.999992971,0.001917684,0.003199306,-8.81139E-17
141.3288267,174.0956997,29.99770576,1.000000668,0.000141252,-0.00101801,-6.43527E-06
138.8139249,171.1194052,29.95751059,0.999996953,0.001141533,0.002182663,-2.35664E-16
136.6912566,167.8451961,29.99773058,1.000000903,0.001222272,-0.000625292,5.13235E-09
134.2454041,164.7727196,29.95596126,0.999998879,0.000569002,0.001383886,2.55028E-16
131.9196149,161.6081261,29.9982973,1.00000068,-0.000149187,-0.001133891,-4.85091E-06
129.8750808,158.2861716,29.96002125,1.000002771,0.00469544,0.005426707,-0.002330229
127.4657086,155.1792482,29.99790045,1.00000093,-0.000643096,-0.001488852,-7.25175E-07
124.9385846,152.1457012,29.95059272,0.999999147,0.000590786,0.001164338,-1.36388E-16
121.9791498,149.6615244,29.99912748,0.999992439,0.000766275,0.00106531,-0.001206282
119.2036877,146.909543,29.96582161,1.000001021,-0.001756831,-0.002322551,0.000126224
116.7309469,143.8617154,29.98755921,1.000001736,0.002172181,0.001004231,-3.77519E-06
114.6769645,140.539687,29.97288266,1.000001806,0.000284596,0.000389186,-0.000843145
112.5353453,137.2957157,29.98487226,1.000008564,0.00662705,0.008728218,-0.003247589
110.4839941,133.9509265,29.9547946,1.000002445,0.000720467,0.000878041,-0.000950324
111.4318796,131.0521225,29.97716732,0.999940263,0.000818995,-0.010714191,-3.05323E-05
112.1712657,127.7784369,29.9801786,0.999975494,-0.000583953,-0.007189517,-0.000253585
112.9601639,124.4012231,29.98455827,0.999998534,-0.000586522,-0.004275855,1.93112E-07
113.7626939,120.9278636,29.98150694,0.999998692,-0.000724542,-0.003520047,9.47404E-08
115.3689481,117.879894,29.98423386,0.999998522,0.000499088,-0.004364503,2.90625E-07
117.5485639,115.347413,29.97966221,0.999973307,0.00231902,-0.006796066,-4.06736E-05
119.722837,112.6199007,29.98436392,0.999998628,0.000807666,-0.003764124,9.88869E-08
121.5625064,109.5543554,29.99081183,1.000023087,-0.001646398,-0.009182001,-0.001341366
123.0846874,106.2638659,29.94735421,1.000001685,0.000325482,0.000378375,-0.000158555
124.5506578,103.0352334,30,1.000007088,0.003088052,0.003720294,-3.2491E-06
126.0961301,99.68897843,29.95923234,1.00000177,0.000817062,0.00078332,-0.000138733
127.4500055,96.22089494,29.99759274,1.000001446,0.001116064,-1.89443E-05,-0.000382644
128.7221923,92.63618522,29.9582935,0.999998933,-0.001420016,0.00033727,-1.60476E-16
127.9323608,89.26396203,29.98923881,0.99997661,-0.000225552,0.007162842,-1.1192E-05
126.9040009,85.91973177,29.97724334,0.999982258,-7.87366E-05,0.006323431,-8.33889E-06
127.5611239,82.27839109,29.98639063,1.000000638,-0.001481047,-0.001158296,-0.001233423
126.3206572,78.95334172,29.97807649,0.999982679,0.000253899,0.00609369,-7.43193E-06
